2Theta,Intensity
5.00186,1165
5.03214,1148
5.06243,1231
5.09272,1088
5.123,1091
5.15329,1120
5.18358,1131
5.21386,1165
5.24415,1114
5.27444,1074
5.30472,1053
5.33501,1096
5.3653,1093
5.39558,1065
5.42587,1083
5.45616,1043
5.48644,1060
5.51673,1012
5.54702,1010
5.5773,1008
5.60759,959
5.63788,1037
5.66816,976
5.69845,1019
5.72874,1014
5.75902,1053
5.78931,1022
5.8196,1067
5.84988,974
5.88017,1028
5.91046,1022
5.94074,1013
5.97103,1017
6.00132,1006
6.0316,966
6.06189,1018
6.09218,982
6.12246,958
6.15275,930
6.18304,994
6.21332,947
6.24361,950
6.2739,950
6.30418,955
6.33447,988
6.36476,958
6.39504,900
6.42533,968
6.45562,971
6.4859,967
6.51619,919
6.54648,887
6.57676,914
6.60705,880
6.63734,928
6.66762,944
6.69791,960
6.7282,912
6.75848,938
6.78877,859
6.81906,967
6.84934,1018
6.87963,988
6.90992,878
6.9402,991
6.97049,1011
7.00078,986
7.03106,1025
7.06135,1045
7.09164,1046
7.12192,1080
7.15221,1079
7.1825,1102
7.21278,1241
7.24307,1260
7.27336,1282
7.30364,1382
7.33393,1461
7.36422,1559
7.3945,1666
7.42479,1814
7.45508,2090
7.48536,2286
7.51565,2733
7.54594,3230
7.57622,4137
7.60651,5768
7.6368,9634
7.66708,18779
7.69737,25274
7.72766,17214
7.75794,7650
7.78823,4187
7.81852,2946
7.8488,2343
7.87909,2021
7.90938,1780
7.93966,1634
7.96995,1460
8.00024,1407
8.03052,1256
8.06081,1102
8.0911,1127
8.12138,1015
8.15167,983
8.18196,1020
8.21224,1059
8.24253,1006
8.27282,1051
8.3031,1052
8.33339,1011
8.36368,981
8.39396,947
8.42425,1082
8.45454,1142
8.48482,1275
8.51511,1272
8.5454,1303
8.57568,1490
8.60597,1969
8.63626,2754
8.66654,4934
8.69683,11773
8.72711,29221
8.7574,36375
8.78769,21524
8.81797,8002
8.84826,3149
8.87855,1890
8.90883,1628
8.93912,1431
8.96941,1356
8.99969,1238
9.02998,1246
9.06027,1220
9.09055,1080
9.12084,1003
9.15113,1004
9.18141,923
9.2117,897
9.24199,882
9.27227,884
9.30256,895
9.33285,913
9.36313,945
9.39342,998
9.42371,969
9.45399,902
9.48428,952
9.51457,877
9.54485,984
9.57514,939
9.60543,1053
9.63571,1037
9.666,1082
9.69629,1102
9.72657,987
9.75686,1083
9.78715,1232
9.81743,1312
9.84772,1350
9.87801,1443
9.90829,1449
9.93858,1593
9.96887,1765
9.99915,2026
10.02944,2249
10.05973,2494
10.09001,2943
